          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-07-05,198.87 ,198.96            ,197.15 ,1.325                ,198.0 ,196.27   ,3101894 ,20180705,3        ,268,3.753250997363335 ,3.690567360496825
2018-07-06,199.52 ,200.26            ,197.48 ,0.327                ,198.11,198.87   ,2050441 ,20180706,4        ,269,3.774773633966805 ,3.7304917124305716
2018-07-09,200.93 ,201.59            ,199.25 ,0.7070000000000001   ,200.8 ,199.52   ,2377291 ,20180709,0        ,270,3.6788851217874203,3.5957594841064915
2018-07-10,201.52 ,202.75            ,200.12 ,0.294                ,201.34,200.93   ,2265050 ,20180710,1        ,271,3.638077383442879 ,3.5469915528922833
2018-07-11,203.84 ,204.15            ,200.25 ,1.151                ,200.47,201.52   ,2827923 ,20180711,2        ,272,3.6618885304027367,3.59405934583998
2018-07-12,207.78 ,209.19            ,204.75 ,1.933                ,205.0 ,203.84   ,3970755 ,20180712,3        ,273,4.026262300367778 ,4.1375180997279735
2018-07-13,205.91 ,207.525           ,203.44 ,-0.9                 ,207.1 ,207.78   ,2590884 ,20180713,4        ,274,4.031602091243457 ,4.130515686430911
2018-07-16,204.08 ,206.0             ,203.76 ,-0.889               ,205.62,205.91   ,2955000 ,20180716,0        ,275,4.030547355675872 ,4.115780261573465
2018-07-17,206.37 ,206.695           ,201.63 ,1.122                ,203.0 ,204.08   ,2918958 ,20180717,1        ,276,4.124588505160205 ,4.242342893363669
2018-07-18,208.36 ,208.38            ,205.38 ,0.964                ,206.65,206.37   ,3595403 ,20180718,2        ,277,4.140535004691139 ,4.250030507581837
2018-07-19,206.06 ,208.71            ,205.76 ,-1.104               ,208.36,208.36   ,2264582 ,20180719,3        ,278,4.032304549718913 ,4.076693106570927
2018-07-20,206.71 ,207.35            ,206.18 ,0.315                ,206.19,206.06   ,2802493 ,20180720,4        ,279,3.863913227016767 ,3.8238006923614787
2018-07-23,207.84 ,207.96            ,205.65 ,0.547                ,206.7 ,206.71   ,2717851 ,20180723,0        ,280,3.7226483881967307,3.621960600046615
2018-07-24,209.58 ,210.4             ,208.31 ,0.8370000000000001   ,208.74,207.84   ,3509118 ,20180724,1        ,281,3.7196803529061073,3.631032520040392
2018-07-25,214.16 ,214.28            ,209.65 ,2.185                ,210.0 ,209.58   ,4997674 ,20180725,2        ,282,3.9669821390060243,4.005561517368331
2018-07-26,207.37 ,211.8             ,204.56 ,-3.1710000000000003  ,210.15,214.16   ,7279878 ,20180726,3        ,283,4.264529217278727 ,4.436819981719221
2018-07-27,202.94 ,211.75            ,201.22 ,-2.136               ,211.69,207.37   ,4913918 ,20180727,4        ,284,5.053208379345562 ,5.570577317489999
2018-07-30,197.87 ,203.33            ,196.2  ,-2.498               ,202.95,202.94   ,5939269 ,20180730,0        ,285,5.609280344860412 ,6.317167008491339
2018-07-31,198.0  ,200.62            ,196.23 ,0.066                ,199.02,197.87   ,4416599 ,20180731,1        ,286,5.709345768055056 ,6.369544740692498
2018-08-01,201.2  ,201.36            ,198.35 ,1.616                ,199.27,198.0    ,4614189 ,20180801,2        ,287,5.507587061867989 ,5.985605441933496
2018-08-02,202.01 ,202.19            ,197.87 ,0.403                ,199.09,201.2    ,3615006 ,20180802,3        ,288,5.399624601698053 ,5.763524716342362
