          ,close  ,high   ,low    ,p_change,open   ,pre_close,volume ,date    ,date_week,atr21             ,atr14             ,key
2018-05-22,174.36 ,175.6  ,173.63 ,-0.417  ,175.21 ,175.09   ,773404 ,20180522,1        ,3.4508718107037955,3.35319612523144  ,238
2018-05-23,174.05 ,174.07 ,171.98 ,-0.178  ,173.12 ,174.36   ,824351 ,20180523,2        ,3.4198834642725786,3.320769975200591 ,239
2018-05-24,173.95 ,174.41 ,171.44 ,-0.057  ,173.85 ,174.05   ,705633 ,20180524,3        ,3.3789849675162   ,3.274000645173845 ,240
2018-05-25,174.03 ,174.305,172.545,0.046   ,173.46 ,173.95   ,531273 ,20180525,4        ,3.2318045159096678,3.0721338924840014,241
2018-05-29,170.81 ,173.31 ,169.04 ,-1.85   ,172.48 ,174.03   ,898095 ,20180529,1        ,3.384367741749397 ,3.3171827068194673,242
2018-05-30,173.42 ,173.64 ,170.88 ,1.528   ,172.05 ,170.81   ,740007 ,20180530,2        ,3.363061583406853 ,3.294891679243543 ,243
2018-05-31,170.57 ,173.715,170.49 ,-1.643  ,173.42 ,173.42   ,1027717,20180531,3        ,3.3505105303689597,3.2855727886777366,244
2018-06-01,172.96 ,173.71 ,172.02 ,1.401   ,172.44 ,170.57   ,588677 ,20180601,4        ,3.1995550275982314,3.0728297501873714,245
2018-06-04,175.23 ,175.24 ,172.92 ,1.312   ,173.84 ,172.96   ,532040 ,20180604,0        ,3.333231843279099 ,3.28578578349572  ,246
2018-06-05,176.15 ,176.57 ,175.17 ,0.525   ,175.38 ,175.23   ,24044  ,20180605,1        ,3.35839258480054  ,3.3290143456962813,247
2018-06-06,178.31 ,178.32 ,176.11 ,1.226   ,176.72 ,176.15   ,528390 ,20180606,2        ,3.3339932589083756,3.297145766270107 ,248
2018-06-07,177.76 ,178.72 ,176.42 ,-0.308  ,178.62 ,178.31   ,616255 ,20180607,3        ,3.264539326277223 ,3.200192997434088 ,249
2018-06-08,179.21 ,179.29 ,177.39 ,0.816   ,177.76 ,177.76   ,477718 ,20180608,4        ,3.140490296610599 ,3.026833931109544 ,250
2018-06-11,177.82 ,179.835,177.41 ,-0.776  ,179.1  ,179.21   ,591951 ,20180611,0        ,3.0754457241890436,2.9465894069616065,251
2018-06-12,178.05 ,178.18 ,176.2  ,0.129   ,177.35 ,177.82   ,535418 ,20180612,1        ,3.069496112898937 ,2.955044152700069 ,252
2018-06-13,176.87 ,179.0  ,176.82 ,-0.663  ,178.32 ,178.05   ,560236 ,20180613,2        ,2.9886328299056477,2.8517049323400605,253
2018-06-14,175.82 ,177.52 ,175.59 ,-0.594  ,177.52 ,176.87   ,20902  ,20180614,3        ,2.94057529991289  ,2.7994776080280572,254
2018-06-15,176.8  ,176.99 ,174.68 ,0.557   ,175.58 ,175.82   ,947819 ,20180615,4        ,2.8832502726466305,2.73421392695765  ,255
2018-06-18,175.16 ,175.83 ,174.72 ,-0.928  ,175.83 ,176.8    ,841575 ,20180618,0        ,2.722045702402318 ,2.5176520700299654,256
