          ,close  ,high   ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-02-01,125.72 ,126.26 ,124.1  ,1.199                ,124.74,124.23   ,11169657,20180201,3        ,162,2.1264476956139204,2.1794884815313
2018-02-02,120.91 ,123.72 ,120.7  ,-3.826               ,123.72,125.72   ,13937710,20180202,4        ,163,2.2540433804189797,2.359556684005363
2018-02-05,116.27 ,121.13 ,115.01 ,-3.838               ,118.7 ,120.91   ,16623914,20180205,0        ,164,3.0227668232285225,3.4729491261999588
2018-02-06,119.97 ,120.3  ,113.25 ,3.182                ,115.2 ,116.27   ,19053339,20180206,1        ,165,3.4443335323750266,4.0312225760669
2018-02-07,119.65 ,122.46 ,119.21 ,-0.267               ,120.09,119.97   ,9293996 ,20180207,2        ,166,3.693939605412865 ,4.319059565936677
2018-02-08,113.86 ,119.82 ,113.54 ,-4.839               ,119.53,119.65   ,12673416,20180208,3        ,167,3.9426723962114054,4.600518290488656
2018-02-09,116.32 ,117.21 ,111.02 ,2.161                ,114.55,113.86   ,17695515,20180209,4        ,168,4.368793130534321 ,5.137782518440378
2018-02-12,118.1  ,118.84 ,116.93 ,1.53                 ,117.95,116.32   ,356866  ,20180212,0        ,169,4.424357396500345 ,5.116744849314419
2018-02-13,118.35 ,118.8  ,117.13 ,0.212                ,117.85,118.1    ,7803914 ,20180213,1        ,170,4.2475976184171   ,4.765178869397531
2018-02-14,120.83 ,120.95 ,117.5  ,2.095                ,117.62,118.35   ,9206447 ,20180214,2        ,171,4.175088738509379 ,4.58982168680761
2018-02-15,122.28 ,122.31 ,119.97 ,1.2                  ,121.7 ,120.83   ,6921256 ,20180215,3        ,172,4.155535215476842 ,4.50584546189844
2018-02-16,121.85 ,122.99 ,121.57 ,-0.35200000000000004 ,121.63,122.28   ,6371435 ,20180216,4        ,173,3.974122911775591 ,4.19306606697384
2018-02-20,122.01 ,123.05 ,121.02 ,0.131                ,121.35,121.85   ,6182797 ,20180220,1        ,174,3.797384455167041 ,3.9046572580401566
2018-02-21,120.43 ,122.83 ,120.41 ,-1.295               ,122.05,122.01   ,7676065 ,20180221,2        ,175,3.672167680020929 ,3.7067029569658527
2018-02-22,120.38 ,121.38 ,119.617,-0.042               ,120.67,120.43   ,4993959 ,20180222,3        ,176,3.555879703626795 ,3.531542562701992
